table_id	table_name	reg_id	reg_name	ind_id	ind_name	reg_date	val
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-06-01T00:00:00	12.5400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-08-01T00:00:00	12.4500
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-10-01T00:00:00	13.1000
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-11-01T00:00:00	13.1000
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-12-01T00:00:00	12.8900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2002-01-01T00:00:00	12.7300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-09-01T00:00:00	12.7900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-07-01T00:00:00	12.2000
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-04-01T00:00:00	12.9500
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-03-01T00:00:00	12.8100
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	64	Астраханская область	8	Среднемесячные курсы покупки Немецкой марки	2001-02-01T00:00:00	12.8500
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-02-01T00:00:00	12.0200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-03-01T00:00:00	12.0900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-04-01T00:00:00	12.4300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-05-01T00:00:00	12.5900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-06-01T00:00:00	12.0400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-07-01T00:00:00	11.7200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-08-01T00:00:00	11.5400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-09-01T00:00:00	11.8000
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-10-01T00:00:00	11.9800
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-11-01T00:00:00	12.3400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2001-12-01T00:00:00	12.3300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	30	Белгородская область	8	Среднемесячные курсы покупки Немецкой марки	2002-01-01T00:00:00	11.8800
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-02-01T00:00:00	12.3600
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-03-01T00:00:00	12.3300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-04-01T00:00:00	12.2400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-05-01T00:00:00	12.0000
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-06-01T00:00:00	11.9900
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-07-01T00:00:00	11.8300
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-08-01T00:00:00	11.8100
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-09-01T00:00:00	12.4800
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-10-01T00:00:00	12.5600
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-11-01T00:00:00	12.7400
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2001-12-01T00:00:00	12.7600
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	46	Брянская область	8	Среднемесячные курсы покупки Немецкой марки	2002-01-01T00:00:00	12.0700
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-01-01T00:00:00	11.9800
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-02-01T00:00:00	12.7200
Table7	Сводные данные об объёмах операций с физическими лицами по покупке и продаже основных видов иностранной валюты уполномоченными банками	5	Владимирская область	8	Среднемесячные курсы покупки Немецкой марки	2001-03-01T00:00:00	12.5900
